Data,Valor,Identificador,Descrição,Categoria
01/06/2025,4288.99,Sal_1,Depósito de salário empresa XPTO,Salário
02/06/2025,1747.96,Sal_2,Pagamento mensal CLT,Salário
03/06/2025,69.6,Sal_3,Salário recebido via transferência,Salário
04/06/2025,-395.85,Sal_4,Crédito de salário,Salário
05/06/2025,767.87,Sal_5,Transferência de salário,Salário
06/06/2025,3581.0,Sal_6,Salário empresa ABC,Salário
07/06/2025,1296.32,Sal_7,Pagamento referente ao mês,Salário
08/06/2025,1737.19,Sal_8,Recebimento de salário,Salário
09/06/2025,1284.83,Sal_9,Salário depositado,Salário
10/06/2025,4185.7,Sal_10,Pagamento de salário,Salário
01/06/2025,1686.2,Fre_1,Pagamento de projeto freelance,Freelance
02/06/2025,1032.2,Fre_2,Recebimento de serviço autônomo,Freelance
03/06/2025,1389.9,Fre_3,Freelance: desenvolvimento de site,Freelance
04/06/2025,3147.54,Fre_4,Freelance design gráfico,Freelance
05/06/2025,4960.99,Fre_5,Pagamento por consultoria freelance,Freelance
06/06/2025,253.16,Fre_6,Recebimento de trabalho freelancer,Freelance
07/06/2025,2580.13,Fre_7,Freelancer em programação,Freelance
08/06/2025,1893.86,Fre_8,Freelancer em design,Freelance
09/06/2025,4995.91,Fre_9,Freelancer em tradução,Freelance
10/06/2025,3243.54,Fre_10,Freelancer em marketing,Freelance
01/06/2025,2600.94,Inv_1,Rendimento de investimentos,Investimentos
02/06/2025,3870.04,Inv_2,Lucro de ações B3,Investimentos
03/06/2025,2350.78,Inv_3,Dividendos recebidos,Investimentos
04/06/2025,1047.08,Inv_4,Aplicação em fundos,Investimentos
05/06/2025,807.74,Inv_5,Compra de ações,Investimentos
06/06/2025,4423.91,Inv_6,Rendimento CDB,Investimentos
07/06/2025,3707.05,Inv_7,Investimento em renda fixa,Investimentos
08/06/2025,2205.79,Inv_8,Investimento em Tesouro Direto,Investimentos
09/06/2025,2992.71,Inv_9,Compra de criptomoedas,Investimentos
10/06/2025,4333.52,Inv_10,Venda de ações,Investimentos
01/06/2025,4556.42,Str_1,Assinatura Netflix,Streaming
02/06/2025,3169.71,Str_2,Pagamento Netflix mensal,Streaming
03/06/2025,-66.18,Str_3,Cobrança Netflix,Streaming
04/06/2025,22.0,Str_4,Assinatura Disney+,Streaming
05/06/2025,4687.09,Str_5,Pagamento Globoplay,Streaming
06/06/2025,-18.07,Str_6,Assinatura Amazon Prime Video,Streaming
07/06/2025,656.36,Str_7,Pagamento Prime Video,Streaming
08/06/2025,3273.8,Str_8,Assinatura HBO Max,Streaming
09/06/2025,235.84,Str_9,Pagamento Telecine,Streaming
10/06/2025,604.38,Str_10,Assinatura Spotify,Streaming
01/06/2025,3533.11,Int_1,Internet Vivo Fibra,Internet
02/06/2025,3734.65,Int_2,Assinatura NET Virtua,Internet
03/06/2025,-419.85,Int_3,Internet Claro mensal,Internet
04/06/2025,491.81,Int_4,Pagamento de internet banda larga,Internet
05/06/2025,2700.3,Int_5,Fatura internet Oi,Internet
06/06/2025,3147.32,Int_6,Internet TIM Live,Internet
07/06/2025,3421.47,Int_7,Pagamento de internet GVT,Internet
08/06/2025,977.45,Int_8,Assinatura internet móvel,Internet
09/06/2025,2598.97,Int_9,Internet residencial,Internet
10/06/2025,3204.97,Int_10,Internet empresarial,Internet
01/06/2025,2882.41,Com_1,Comissão de vendas,Comissões
02/06/2025,4823.74,Com_2,Bônus por meta batida,Comissões
03/06/2025,4140.02,Com_3,Comissão recebida,Comissões
04/06/2025,678.06,Com_4,Comissão extra,Comissões
05/06/2025,3339.69,Com_5,Pagamento de comissão,Comissões
06/06/2025,84.67,Com_6,Comissão sobre vendas,Comissões
07/06/2025,3333.37,Com_7,Comissão de corretagem,Comissões
08/06/2025,4574.29,Com_8,Comissão de afiliado,Comissões
09/06/2025,4692.65,Com_9,Comissão de indicação,Comissões
10/06/2025,-282.65,Com_10,Comissão de parceria,Comissões
01/06/2025,1218.33,Sup_1,Compra no supermercado Carrefour,Supermercado
02/06/2025,1729.67,Sup_2,Supermercado Extra compra do mês,Supermercado
03/06/2025,4951.25,Sup_3,Mercado Pão de Açúcar,Supermercado
